#hgnc_id	hgnc_symbol	confidence_level	penetrance	pmid	omim_id	inheritance	panel_id	panel_name	panel_version	line_number
HGNC:26899	TMTC3	3	-	28973161	-	BIALLELIC, autosomal or pseudoautosomal	6	Cobblestone Malformations	1.1	6
HGNC:2666	DAG1	1	unknown	29337005	-	BIALLELIC, autosomal or pseudoautosomal	6	Cobblestone Malformations	1.1	7
HGNC:6482	LAMA2	3	-	32827036	-	BIALLELIC, autosomal or pseudoautosomal	6	Cobblestone Malformations	1.1	12
HGNC:9957	RELN	3	-	35769015	-	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	15	Lissencephaly and Band Heterotopia	1.15	18
HGNC:1774	CDK5	2	-	32097629||32273484	-	BIALLELIC, autosomal or pseudoautosomal	15	Lissencephaly and Band Heterotopia	1.15	22
HGNC:17208	BICD2	1	-	35896821	-	BIALLELIC, autosomal or pseudoautosomal	15	Lissencephaly and Band Heterotopia	1.15	29
HGNC:22932	GMPPB	2	-	24780531||26310427||30257713	-	BIALLELIC, autosomal or pseudoautosomal	15	Lissencephaly and Band Heterotopia	1.15	30
HGNC:15629	B3GNT2	1	-	23877401||23359570	-	BIALLELIC, autosomal or pseudoautosomal	15	Lissencephaly and Band Heterotopia	1.15	31
HGNC:19048	ASPM	3	unknown	27250695	-	BIALLELIC, autosomal or pseudoautosomal	15	Lissencephaly and Band Heterotopia	1.15	37
HGNC:18028	OSGEP	3	Complete	PMID: 30558655	-	BIALLELIC, autosomal or pseudoautosomal	15	Lissencephaly and Band Heterotopia	1.15	39
HGNC:25812	SRD5A3	1	-	27480077||31638560	-	BIALLELIC, autosomal or pseudoautosomal	15	Lissencephaly and Band Heterotopia	1.15	43
HGNC:11133	SNAP29	3	-	29051910||30793783	-	BIALLELIC, autosomal or pseudoautosomal	15	Lissencephaly and Band Heterotopia	1.15	44
HGNC:6482	LAMA2	3	-	18406646||20207543	-	BIALLELIC, autosomal or pseudoautosomal	15	Lissencephaly and Band Heterotopia	1.15	52
HGNC:801	ATP1A3	3	-	33762331	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	18	Polymicrogyria and Schizencephaly	0.186	69
HGNC:20226	KIF26A	3	-	PMID: 36228617	-	BIALLELIC, autosomal or pseudoautosomal	18	Polymicrogyria and Schizencephaly	0.186	70
HGNC:3372	EOMES	1	-	17353897	-	BIALLELIC, autosomal or pseudoautosomal	18	Polymicrogyria and Schizencephaly	0.186	72
HGNC:4512	ADGRG1	3	-	16240336	-	BIALLELIC, autosomal or pseudoautosomal	18	Polymicrogyria and Schizencephaly	0.186	74
HGNC:2202	COL4A1	3	-	31719132	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	18	Polymicrogyria and Schizencephaly	0.186	77
HGNC:17208	BICD2	3	-	32057122	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	18	Polymicrogyria and Schizencephaly	0.186	83
HGNC:773	ASTN1	2	-	29706646	-	BIALLELIC, autosomal or pseudoautosomal	18	Polymicrogyria and Schizencephaly	0.186	84
HGNC:3341	EMX2	2	-	9153481	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	18	Polymicrogyria and Schizencephaly	0.186	89
HGNC:6836	MAP1B	3	-	30214071	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	18	Polymicrogyria and Schizencephaly	0.186	94
HGNC:10590	SCN3A	3	-	29740860||30146301||32515017	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	18	Polymicrogyria and Schizencephaly	0.186	95
HGNC:6940	MCF2	1	-	31846234	-	X-LINKED: hemizygous mutation in males, biallelic mutations in females	18	Polymicrogyria and Schizencephaly	0.186	96
HGNC:11119	SMO	2	-	24859340	-	Unknown	18	Polymicrogyria and Schizencephaly	0.186	97
HGNC:393	AKT3	3	-	28969385	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	18	Polymicrogyria and Schizencephaly	0.186	99
HGNC:9717	PEX2	2	-	21031596	-	BIALLELIC, autosomal or pseudoautosomal	18	Polymicrogyria and Schizencephaly	0.186	101
HGNC:25812	SRD5A3	1	-	27480077||31638560	-	BIALLELIC, autosomal or pseudoautosomal	18	Polymicrogyria and Schizencephaly	0.186	103
HGNC:11133	SNAP29	3	-	29051910||30793783	-	BIALLELIC, autosomal or pseudoautosomal	18	Polymicrogyria and Schizencephaly	0.186	104
HGNC:8859	PEX6	3	-	26700162||9877282||21031596	-	BIALLELIC, autosomal or pseudoautosomal	18	Polymicrogyria and Schizencephaly	0.186	105
HGNC:8857	PEX16	2	-	21031596	-	BIALLELIC, autosomal or pseudoautosomal	18	Polymicrogyria and Schizencephaly	0.186	108
HGNC:9719	PEX5	2	-	21031596	-	BIALLELIC, autosomal or pseudoautosomal	18	Polymicrogyria and Schizencephaly	0.186	110
HGNC:8850	PEX1	3	unknown	21031596	-	BIALLELIC, autosomal or pseudoautosomal	18	Polymicrogyria and Schizencephaly	0.186	111
HGNC:8858	PEX3	2	-	21031596	-	BIALLELIC, autosomal or pseudoautosomal	18	Polymicrogyria and Schizencephaly	0.186	112
HGNC:22965	PEX26	2	-	21031596	-	BIALLELIC, autosomal or pseudoautosomal	18	Polymicrogyria and Schizencephaly	0.186	113
HGNC:8851	PEX10	2	unknown	21031596	-	BIALLELIC, autosomal or pseudoautosomal	18	Polymicrogyria and Schizencephaly	0.186	114
HGNC:9713	PEX19	2	-	21031596	-	BIALLELIC, autosomal or pseudoautosomal	18	Polymicrogyria and Schizencephaly	0.186	115
HGNC:8854	PEX12	2	unknown	21031596	-	BIALLELIC, autosomal or pseudoautosomal	18	Polymicrogyria and Schizencephaly	0.186	116
HGNC:8855	PEX13	2	unknown	21031596	-	BIALLELIC, autosomal or pseudoautosomal	18	Polymicrogyria and Schizencephaly	0.186	117
HGNC:8856	PEX14	2	-	30224891||21031596	-	BIALLELIC, autosomal or pseudoautosomal	18	Polymicrogyria and Schizencephaly	0.186	118
HGNC:12410	TUBA8	1	-	31481326	-	BIALLELIC, autosomal or pseudoautosomal	18	Polymicrogyria and Schizencephaly	0.186	119
HGNC:6470	L1CAM	2	-	9926316||27066571	-	X-LINKED: hemizygous mutation in males, biallelic mutations in females	18	Polymicrogyria and Schizencephaly	0.186	121
HGNC:4584	GRIN1	3	-	29365063	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	18	Polymicrogyria and Schizencephaly	0.186	122
HGNC:7728	NEDD4L	3	-	28515470||30393983	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	18	Polymicrogyria and Schizencephaly	0.186	125
HGNC:28845	MED25	2	-	32816121||32324310	-	BIALLELIC, autosomal or pseudoautosomal	18	Polymicrogyria and Schizencephaly	0.186	127
HGNC:9588	PTEN	3	-	32959437	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	18	Polymicrogyria and Schizencephaly	0.186	128
HGNC:19034	MAST1	3	-	32818970	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	18	Polymicrogyria and Schizencephaly	0.186	129
HGNC:3350	ENO1	1	-	32488097	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	18	Polymicrogyria and Schizencephaly	0.186	131
HGNC:24502	WDR62	3	-	32677750||22775483||31788460	-	BIALLELIC, autosomal or pseudoautosomal	18	Polymicrogyria and Schizencephaly	0.186	132
